ID,Title,TMDB_id,IMGID,Release,Runtime,Genres,Language,Cast,Director,Producer,Writer,Sound Designer,Editor,Director of Photography,Composer,Art Direction,Production Design,Costume Design,Makeup Artist,Title
[Film62550],Drive,64690,/602vevIURmpDfzbnv5Ubi6wIkQm.jpg,2011-08-06,100,"Drama,Thriller,Crime",en,"Ryan Gosling,Carey Mulligan,Bryan Cranston,Albert Brooks,Oscar Isaac",Nicolas Winding Refn,"Gigi Pritzker,Marc Platt,Adam Siegel,Michel Litvak,John Palermo",,"Lon Bender,Victor Ray Ennis",Matthew Newman,Newton Thomas Sigel,Cliff Martinez,Christopher Tandon,Beth Mickle,Erin Benach,Ronnie Specter,Drive
[Film80732],Spring Breakers,122081,/h3ufD3KszAl19r1gBv5wgvw4xpn.jpg,2013-01-24,94,"Drama,Crime",en,"James Franco,Vanessa Hudgens,Ashley Benson,Selena Gomez,Rachel Korine",Harmony Korine,"Chris Hanley,Charles-Marie Anthonioz,Jordan Gertner,David Zander",Harmony Korine,Aaron Glascock,Douglas Crise,Benoît Debie,"Cliff Martinez,Skrillex",Almitra Corey,Elliott Hostetter,Heidi Bivens,Nana Fischer,Spring Breakers
[Film129334],Nightcrawler,242582,/j9HrX8f7GbZQm1BrBiR40uFQZSb.jpg,2014-10-23,118,"Crime,Drama,Thriller",en,"Jake Gyllenhaal,Rene Russo,Riz Ahmed,Bill Paxton,Kevin Rahm",Dan Gilroy,"Jake Gyllenhaal,Jennifer Fox,Tony Gilroy,David Lancaster,Michel Litvak",Dan Gilroy,Scott Martin Gershin,John Gilroy,Robert Elswit,James Newton Howard,Naaman Marshall,Kevin Kavanaugh,Amy Westcott,Malanie J. Romero,Nightcrawler
[Film191001],Portrait of a Lady on Fire,531428,/2LquGwEhbg3soxSCs9VNyh5VJd9.jpg,2019-06-17,120,"Drama,Romance",fr,"Noémie Merlant,Adèle Haenel,Luàna Bajrami,Valeria Golino,Christel Baras",Céline Sciamma,Bénédicte Couvreur,,,Julien Lacheray,Claire Mathon,"Jean-Baptiste de Laubier,Arthur Simonini",,Thomas Grézaud,Dorothée Guiraud,"Marthe Faucouit,Aurélie Cerveau",Portrait of a Lady on Fire
[Film171168],Good Time,429200,/s6DJXJU3HzX24Ij3VWg5MfVGHrI.jpg,2017-08-11,102,"Crime,Drama,Thriller",en,"Robert Pattinson,Benny Safdie,Jennifer Jason Leigh,Buddy Duress,Taliah Webster","Josh Safdie,Benny Safdie","Terry Dougas,Sebastian Bear-McClard,Oscar Boyson,Paris Kasidokostas Latsis",,Ryan M. Price,"Benny Safdie,Ronald Bronstein",Sean Price Williams,Daniel Lopatin,,Sam Lisenco,"Miyako Bellizzi,Mordechai Rubinstein",Jessica Jade Jacob,Good Time
[Film76318],Amour,86837,/6aMbUAZJJkoIPsaG99D8mn65tZV.jpg,2012-07-01,127,"Drama,Romance",fr,"Jean-Louis Trintignant,Emmanuelle Riva,Isabelle Huppert,Alexandre Tharaud,William Shimell",Michael Haneke,"Stefan Arndt,Veit Heiduschka,Margaret Ménégoz,Michael Katz",,Guillaume Sciama,"Nadine Muse,Monika Willi",Darius Khondji,,Thierry Poulet,Jean-Vincent Puzos,Catherine Leterrier,Guillaume Castagné,Amour
[Film146680],Cemetery of Splendour,298721,/pK5y82ISbaBWa87R5neub8qojDk.jpg,2015-09-02,122,"Drama,Fantasy",th,"Jenjira Pongpas,Banlop Lomnoi,Jarinpattra Rueangram,Petcharat Chaiburi,Tawatchai Buawat",Apichatpong Weerasethakul,"Michael Weber,Hans W. Geißendörfer,Apichatpong Weerasethakul,Charles de Meaux,Keith Griffiths,Simon Field",Apichatpong Weerasethakul,"Akritchalerm Kalayanamitr,Richard Hocks",Lee Chatametikool,Diego García,,Pichan Muangduang,Akekarat Homlaor,Phim U-mari,,Cemetery of Splendour
[Film160624],Blade Runner 2049,335984,/gajva2L0rPYkEWjzgFlBXCAVBE5.jpg,2017-10-04,164,"Science Fiction,Drama",en,"Ryan Gosling,Harrison Ford,Ana de Armas,Sylvia Hoeks,Robin Wright",Denis Villeneuve,"Ridley Scott,Broderick Johnson,Andrew A. Kosove,Bud Yorkin,Cynthia Sikes",,"Theo Green,Matt Lange",Joe Walker,Roger Deakins,"Hans Zimmer,Benjamin Wallfisch","Rod McLean,Tibor Lázár,Bence Erdelyi,David Doran,Stefan Speth,Gergely Rieger,Lydia Fry,Deak Ferrand,Steven Saunders",Dennis Gassner,Renée April,"Bill Corso,Szandra Bíró,Nóra Kapás,Szilvia Dobrovitz,Anna Törjék,Ancsa Kriskó,Nóra Koltai",Blade Runner 2049
[Film122938],Carol,258480,/uHwjbztkPEW3lcfsbKGO3XlaPjL.jpg,2015-11-20,118,"Romance,Drama",en,"Rooney Mara,Cate Blanchett,Kyle Chandler,Sarah Paulson,Jake Lacy",Todd Haynes,"Tessa Ross,Christine Vachon,Stephen Woolley,Elizabeth Karlsen",,,Affonso Gonçalves,Edward Lachman,Carter Burwell,Jesse Rosenthal,Judy Becker,Sandy Powell,"Jeni Lee Dinkel,Morag Ross,Anne Taylor",Carol
[Film95085],Tabu,93858,/mtr1ztUkJs6jsYdzK3gBLsuffr4.jpg,2012-04-05,120,"Drama,Romance",pt,"Teresa Madruga,Laura Soveral,Ana Moreira,Henrique Espírito Santo,Carloto Cotta",Miguel Gomes,"Sandro Aguilar,Luís Urbano",,,"Telmo Churro,Miguel Gomes",Rui Poças,,,Bruno Duarte,,,Tabu
[Film176334],Roma,426426,/kxZUWtJGbGqaUdXCYg2CTs8wyEc.jpg,2018-08-25,135,Drama,es,"Yalitza Aparicio,Marina de Tavira,Diego Cortina Autrey,Carlos Peralta,Marco Graf",Alfonso Cuarón,"Alfonso Cuarón,Nicolás Celis,Gabriela Rodríguez",Alfonso Cuarón,"Craig Berkey,José Antonio García,Ruy García","Alfonso Cuarón,Adam Gough",Alfonso Cuarón,Steven Price,"Carlos Benassini,Oscar Tello",Eugenio Caballero,,Emma Canchola,Roma
[Film185440],Once Upon a Time... in Hollywood,466272,/8j58iEBw9pOXFD2L0nt0ZXeHviB.jpg,2019-07-24,162,"Comedy,Drama,Thriller",en,"Leonardo DiCaprio,Brad Pitt,Margot Robbie,Emile Hirsch,Margaret Qualley",Quentin Tarantino,"Quentin Tarantino,David Heyman,Shannon McIntosh",,,Fred Raskin,Robert Richardson,,"John Dexter,Eric Sundahl,Tristan Paris Bourne",Barbara Ling,,"Jean Ann Black,Sian Grigg,Seana Gorlick",Once Upon a Time... in Hollywood
[Film65505],Moonrise Kingdom,83666,/y4SXcbNl6CEF2t36icuzuBioj7K.jpg,2012-05-16,94,"Comedy,Drama,Romance",en,"Jared Gilman,Kara Hayward,Bruce Willis,Edward Norton,Bill Murray",Wes Anderson,"Scott Rudin,Wes Anderson,Jeremy Dawson,Steven M. Rales","Wes Anderson,Roman Coppola",,Andrew Weisblum,Robert D. Yeoman,Alexandre Desplat,Gerald Sullivan,Adam Stockhausen,Kasia Walicka-Maimone,Carla Antonino,Moonrise Kingdom
[Film99614],The Wolf of Wall Street,106646,/pWHf4khOloNVfCxscsXFj3jj6gP.jpg,2013-12-25,180,"Crime,Drama,Comedy",en,"Leonardo DiCaprio,Jonah Hill,Margot Robbie,Kyle Chandler,Rob Reiner",Martin Scorsese,"Martin Scorsese,Leonardo DiCaprio,Emma Tillinger Koskoff,Riza Aziz,Joey McFarland",,,Thelma Schoonmaker,Rodrigo Prieto,,Chris Shriver,Bob Shaw,Sandy Powell,"Sian Grigg,Francesca Buccellato,Jill Astmann,Mary Anne Spano",The Wolf of Wall Street
[Film185458],An Elephant Sitting Still,499556,/bJfkDnsY9z9ohWdyzyCAqYZxbnS.jpg,2018-03-08,234,Drama,zh,"Peng Yuchang,Wang Yuwen,Zhang Yu,Congxi Li,Zhenghui Ling",Hu Bo,"Wang Xiaoshuai,Dongyan Fu",,"Sam Fan,Lou Kun",Hu Bo,Fan Chao,Hua Lun,,Lijian Xie,,,An Elephant Sitting Still
[Film106415],Her,152601,/yk4J4aewWYNiBhD49WD7UaBBn37.jpg,2013-12-18,126,"Romance,Science Fiction,Drama",en,"Joaquin Phoenix,Scarlett Johansson,Amy Adams,Rooney Mara,Olivia Wilde",Spike Jonze,"Spike Jonze,Vincent Landay,Megan Ellison",Spike Jonze,,"Jeff Buchanan,Eric Zumbrunnen",Hoyte van Hoytema,"Owen Pallett,Will Butler",Austin Gorg,K.K. Barrett,Casey Storm,,Her
[Film153090],The Handmaiden,290098,/8MnMGO3oALkaiavehLmsKwvBU8S.jpg,2016-06-01,145,"Thriller,Drama,Romance",ko,"Kim Min-hee,Kim Tae-ri,Ha Jung-woo,Cho Jin-woong",Park Chan-wook,Syd Lim,"Park Chan-wook,Chung Seo-kyung",,"Kim Sang-bum,Kim Jae-beom",Jeong Jeong-hun,"Cho Young-wook,Hong Dae-sung",,Ryu Seong-hie,Cho Sang-kyung,,The Handmaiden
[Film51544],Melancholia,62215,/fMneszMiQuTKY8JUXrGGB5vwqJf.jpg,2011-05-26,135,"Drama,Science Fiction",en,"Kirsten Dunst,Charlotte Gainsbourg,Kiefer Sutherland,Charlotte Rampling,John Hurt",Lars von Trier,"Meta Louise Foldager,Louise Vesth",,Kristian Eidnes Andersen,Molly Malene Stensgaard,Manuel Alberto Claro,,Simone Grau,Jette Lehmann,Manon Rasmussen,Marina Ritvall,Melancholia
